Label,A_Burst_Duration,A_Burst_Rate,A_CV,A_IAT_IQR,A_IAT_Median,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Q1,A_IAT_Q3,A_IAT_Skew_Ratio,A_IAT_StdDev,A_Kurtosis,A_Mean_IAT,A_Retran_intervals,A_Silence_Avg_Duration,A_Silence_Count,A_Silence_Max_Duration,A_Silence_Rate,A_Silence_Total_Duration,A_Skewness,Assoc_Time,Assoc_Time_Ratio,Dst_One_Count,Dst_One_Exist,First_Stage_Time_Diff,First_Stage_Time_Diff_Ratio,Gap_23_Time,Gap_23_Time_Ratio,Gap_34_Time,Gap_34_Time_Ratio,Gap_45_Time,Gap_45_Time_Ratio,Next_Packet_After_First_Stage,Probe_Time,Probe_Time_Ratio,Trans_1_1,Trans_1_2,Trans_1_3,Trans_1_4,Trans_1_5,Trans_1_6,Trans_2_1,Trans_2_2,Trans_2_3,Trans_2_4,Trans_2_5,Trans_2_6,Trans_3_1,Trans_3_2,Trans_3_3,Trans_3_4,Trans_3_5,Trans_3_6,Trans_4_1,Trans_4_2,Trans_4_3,Trans_4_4,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_2,Trans_5_3,Trans_5_4,Trans_5_5,Trans_5_6,Trans_6_1,Trans_6_2,Trans_6_3,Trans_6_4,Trans_6_5,Trans_6_6,Type_1_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_2_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_3_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_4_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_5_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_6_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Time,Type_6_Time_Ratio,Type_Sequence,Type_Sequence_In_Range,excess,lack,Range_1,Range_2,Range_1_2,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5
HONOR-70_1,0.0024828910827637,0.6428571428571429,1.1623379077588325,0.0029311180114746285,0.0013868808746336997,9.059906005900141e-06,0.0069242954254150405,0.007692909240722658,1.0967254638671877e-05,0.0029420852661133003,3.9927110194261437,0.0028421729998527943,-0.22601018833072084,0.002445220947265623,0.002230703830718987,0.008358955383300799,1,0.008358955383300799,0.07692307692307693,0.008358955383300799,1.083607112612226,0.0072488784790039,0.2280391215648626,0,0,0.0317878723144531,1.0,9.059906005900141e-06,0.00028501140045730095,0.0018661022186279002,0.05870484819392688,0.0072488784790039,0.2280391215648626,0,0.0045769214630126,0.14398325933037034,3,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0.0,0.0013048648834228,3,0.003180980682373,0.0045769214630126,2,0.0045859813690185,0.0057458877563476,1,0.0076119899749755,0.0076119899749755,1,0.0148608684539794,0.0148608684539794,3,0.0178029537200927,0.0317878723144531,0.013984918594360397,0.43994509780391394,"1,1,1,1,2,2,2,3,3,4,5,6,6,6",,"[(1, 1, 1, 1, 2), (2, 2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0027358531951901977,0.6923076923076923,1.1589185751542792,0.0052585005760193496,0.0019525289535522487,2.622604370100318e-06,0.0072957038879394994,0.009107041358947798,9.05990600579996e-06,0.005267560482025149,2.736540692349979,0.003643923185488385,-0.07690934334196164,0.003144244352976475,0.002032143729073627,0.011240005493164102,1,0.011240005493164102,0.08333333333333333,0.011240005493164102,1.014000061492474,0.007361888885498099,0.1951154781839454,0,0,0.0377309322357177,1.0,0.0021090507507325,0.055897128052828315,0.0027940273284912,0.07405137278443005,0.007361888885498099,0.1951154781839454,0,0.0009288787841796,0.024618495466175734,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,9.5367431640625e-07,0.0009288787841796,3,0.0030379295349121,0.0030488967895507,1,0.0058429241180419,0.0058429241180419,1,0.01320481300354,0.01320481300354,4,0.0244448184967041,0.0377309322357177,0.013286113739013596,0.35212789485324186,"1,2,2,2,3,3,3,4,5,6,6,6,6",,"[(2, 2, 2, 3), (3, 3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0030779838562011,0.5,1.4128814805962011,0.00367856025695803,0.0020270347595214983,9.059906005859377e-06,0.0065860748291015,0.0123295783996582,0.0005184412002563203,0.00419700145721435,2.249117854622389,0.005204168052976756,3.532611868876784,0.0036833719773726,0.0019111633300781066,0.0180730819702149,1,0.0180730819702149,0.09090909090909091,0.0180730819702149,2.102405847709815,0.0065860748291015,0.16255053224354193,0,0,0.0405170917510986,1.0,0.0020229816436768,0.04992909303817315,0.0023589134216309,0.058220205836144186,0.0065860748291015,0.16255053224354193,0,0.0010459423065185,0.025814841621502608,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,9.059906005859377e-06,0.0010459423065185,2,0.0030689239501953,0.0030779838562011,1,0.005436897277832,0.005436897277832,1,0.0120229721069335,0.0120229721069335,4,0.0300960540771484,0.0405170917510986,0.010421037673950199,0.25720102859227645,"1,2,2,2,3,3,4,5,6,6,6,6",,"[(2, 2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0022652149200438985,0.6666666666666666,1.293145434971879,0.003567457199096732,0.0019869804382323998,9.059906005900141e-06,0.006675004959106399,0.0103814601898193,0.0005120038986205703,0.0040794610977173025,2.35937125029999,0.004168405866186995,2.260749224776684,0.003223462538285682,0.001735846201578774,0.014087915420532199,1,0.014087915420532199,0.09090909090909091,0.014087915420532199,1.7431708853265682,0.006675004959106399,0.18825056145022168,0,0,0.0354580879211425,1.0,0.0019869804382323998,0.05603743898011004,0.0022840499877930004,0.0644154866126071,0.006675004959106399,0.18825056145022168,0,0.001033067703247,0.029134895980417925,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,9.059906005859377e-06,0.001033067703247,2,0.0030200481414794,0.0030291080474853,1,0.0053131580352783,0.0053131580352783,1,0.0119881629943847,0.0119881629943847,4,0.0260760784149169,0.0354580879211425,0.009382009506225603,0.2645943438092559,"1,2,2,2,3,3,4,5,6,6,6,6",,"[(2, 2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0035669803619384,0.5555555555555556,1.4632335367538705,0.0024577379226685004,0.0016230344772338507,0.0006677150726318301,0.010582995414733887,0.01443997621536254,0.001170396804809525,0.0036281347274780256,5.520499449137127,0.006114461730597718,1.7200035061219898,0.004178732633590688,0.001399676005045534,0.0182969570159912,1,0.0182969570159912,0.125,0.0182969570159912,1.7852405322407976,0.0072770118713379,0.21767999144171535,0,0,0.0334298610687255,1.0,2.1457672119999313e-06,6.418714117861985e-05,0.0024118423461914006,0.07214634668188141,0.0072770118713379,0.21767999144171535,0,0.0021958351135253,0.06568484113682305,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.0,2,0.0012428760528564,0.0021958351135253,2,0.0021979808807373,0.0035669803619384,1,0.0059788227081298,0.0059788227081298,1,0.0132558345794677,0.0132558345794677,2,0.0315527915954589,0.0334298610687255,0.0018770694732666016,0.05614948471989459,"1,2,2,3,3,4,5,6,6",,"[(2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.004581928253173903,0.6363636363636364,1.1127002975971738,0.004414618015289249,0.0024579763412475213,3.242492675787573e-05,0.007206344604492166,0.010713171958923327,0.0013719797134399752,0.005786597728729225,1.9318201658664698,0.0043078064852815675,1.333790011974516,0.00387148857116699,0.0026291847229004003,0.014219999313354499,1,0.014219999313354499,0.1,0.014219999313354499,1.4463837830787505,0.006424188613891599,0.1659358795925657,0,0,0.0387148857116699,1.0,0.0017280578613280422,0.04463548915519982,0.0031878948211670004,0.08234287051520514,0.006424188613891599,0.1659358795925657,0,8.821487426757812e-06,0.0002278577674865442,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0.0,0.0,1,8.821487426757812e-06,8.821487426757812e-06,2,0.0017368793487548,0.0017719268798828,1,0.0049598217010498,0.0049598217010498,1,0.0113840103149414,0.0113840103149414,5,0.0256040096282959,0.0387148857116699,0.013110876083374003,0.33865206734736575,"1,2,3,3,4,5,6,6,6,6,6",,"[(3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0033998489379882,0.5,1.425401362606625,0.0021234750747680976,0.0017800331115722032,9.059906005900141e-06,0.0064249038696289,0.01166951656341555,0.00106894969940185,0.003192424774169948,2.6094294133406,0.004842719992447457,3.7631883051640793,0.0033974430777809817,0.0015378395716349165,0.0169141292572022,1,0.0169141292572022,0.09090909090909091,0.0169141292572022,2.196740001771279,0.0064249038696289,0.17191816215733427,0,0,0.0373718738555908,1.0,0.001093864440918,0.029269724208767733,0.0024681091308593997,0.06604188862448954,0.0064249038696289,0.17191816215733427,0,0.0022969245910644,0.06146131713758801,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,0.0012438297271728,0.0022969245910644,2,0.0033907890319824,0.0033998489379882,1,0.0058679580688476,0.0058679580688476,1,0.0122928619384765,0.0122928619384765,4,0.0292069911956787,0.0373718738555908,0.008164882659912099,0.21847667289743458,"1,2,2,2,3,3,4,5,6,6,6,6",,"[(2, 2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0022809505462646,0.5454545454545454,1.4074304889880247,0.005014955997467041,0.00198400020599365,9.036064147895745e-06,0.007431316375732426,0.012725138664245603,0.00028806924819948533,0.0053030252456665265,2.7456227843537886,0.005482775923901088,2.551707028473884,0.00389559268951416,0.0021410465240478483,0.018018960952758803,1,0.018018960952758803,0.1,0.018018960952758803,1.8602073238272965,0.0062549114227295,0.16056379404258464,0,0,0.0389559268951416,1.0,0.0011289119720459002,0.02897920963566375,0.0028390884399414,0.07287949912174925,0.0062549114227295,0.16056379404258464,0,0.0011429786682128,0.029340302216126882,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0.0,0.0,3,8.821487426757812e-06,0.0011429786682128,2,0.0022718906402587,0.0022809505462646,1,0.005120038986206,0.005120038986206,1,0.0113749504089355,0.0113749504089355,3,0.0293939113616943,0.0389559268951416,0.0095620155334473,0.24545727173134801,"1,2,2,2,3,3,4,5,6,6,6",,"[(2, 2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0020928382873536006,0.631578947368421,1.2612159651255976,0.002746939659118675,0.0010600090026854998,1.788139343250183e-06,0.006657671928405759,0.006797027587890616,9.059906005825006e-06,0.0027559995651245,5.280769230769507,0.00250168475078812,-0.27011797211888666,0.001983549859788677,0.0012681484222412075,0.0069048404693604,1,0.0069048404693604,0.05555555555555555,0.0069048404693604,1.104885806640512,0.0069048404693604,0.19339178513953162,0,0,0.0357038974761962,1.0,0.0014691352844238,0.04114775663926531,0.0029020309448241997,0.08128050857077955,0.0069048404693604,0.19339178513953162,0,0.0021708011627197,0.06080011752686031,0,1,0,0,0,0,0,2,1,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.0,0.0,3,0.0011639595031738,0.0021708011627197,9,0.0036399364471435,0.0057899951934814,1,0.0086920261383056,0.0086920261383056,1,0.015596866607666,0.015596866607666,4,0.0223748683929443,0.0357038974761962,0.013329029083251898,0.3733214025762416,"1,2,2,2,3,3,3,3,3,3,3,3,3,4,5,6,6,6,6",,"[(2, 2, 2, 3), (3, 3, 3, 3, 3, 3, 3, 3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
HONOR-70_1,0.0010619163513181998,0.6,1.5260140014703218,0.0023829936981201406,0.0011310577392579,7.629394531199954e-06,0.009774351119995141,0.012245130538940418,9.059906005859377e-06,0.002392053604126,7.641779089375405,0.0050371871693719065,0.9618778207526208,0.003300878736707889,0.004222691059112535,0.0147159099578857,1,0.0147159099578857,0.1111111111111111,0.0147159099578857,1.5544072508669422,0.0085389614105225,0.28743058007768835,0,0,0.029707908630371,1.0,9.05990600579996e-06,0.0003049661327064213,0.002392053604126,0.08051908445956896,0.0085389614105225,0.28743058007768835,0,0.0021820068359375,0.07344868543545977,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.0,3,9.059906005859377e-06,0.0021820068359375,2,0.0021910667419433,0.0021929740905761,1,0.0045850276947021,0.0045850276947021,1,0.0131239891052246,0.0131239891052246,2,0.0149919986724853,0.029707908630371,0.0147159099578857,0.4953532791884692,"1,2,2,2,3,3,4,5,6,6",,"[(2, 2, 2, 3), (3, 3, 4)]",(),0,0,0,0,0,0,0,0,0
