Label,Cluster,Best_Match_Pred,6_Count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2,Lack_Count
HUAWEI-mate50pro,1,IPAD-11air,3,0,0,0,0,0,2,5,1,0
HUAWEI-mate50pro,6,HUAWEI-mate50pro,3,0,0,0,0,1,2,3,1,1
HUAWEI-mate50pro,1,IPAD-11air,3,0,0,0,0,0,2,6,1,0
HUAWEI-mate50pro,1,IPAD-11air,2,0,0,0,0,0,2,6,1,0
HUAWEI-mate60pro,14,HUAWEI-mate60pro,2,0,0,0,0,0,1,2,0,0
HUAWEI-mate60pro,5,IPhone-12_LTE32,4,0,0,0,0,0,1,3,0,0
HUAWEI-mate60pro,16,HONOR-70_1,2,0,0,0,0,0,1,2,0,0
HUAWEI-mate60pro,8,OPPO-FINDX3PRO_2,3,0,0,0,1,0,1,2,0,1
HUAWEI-mate60pro,9,HONOR-80_SE_2,1,0,0,0,1,0,1,3,0,1
HUAWEI-mate60pro,4,IP-14,3,0,0,0,0,0,1,2,0,0
HUAWEI-mate60pro,14,HUAWEI-mate60pro,3,0,0,0,0,0,1,3,0,0
HUAWEI-mate60pro,16,HONOR-70_1,3,0,0,0,0,0,1,3,0,0
HUAWEI-mate60pro,14,HUAWEI-mate60pro,3,0,0,0,0,0,1,3,0,0
HUAWEI-mate60pro,8,OPPO-FINDX3PRO_2,1,0,0,0,1,0,1,3,0,1
HUAWEI-mate60pro,16,HONOR-70_1,2,0,0,0,0,0,1,2,0,0
HUAWEI-mate60pro,16,HONOR-70_1,1,0,0,0,0,0,0,3,0,0
HUAWEI-MateBook,8,OPPO-FINDX3PRO_2,3,0,0,0,1,0,0,0,0,1
HUAWEI-MateBook,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,12,HUAWEI-mate40pro,3,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,0,HONOR-80_SE_1,3,0,1,1,1,0,0,0,0,3
HUAWEI-MateBook,16,HONOR-70_1,1,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,12,HUAWEI-mate40pro,4,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,15,VIVO-X60_2,3,1,0,0,1,1,0,0,0,3
HUAWEI-MateBook,10,OPPO-FINDX6_1,3,0,0,0,0,1,0,0,0,1
HUAWEI-MateBook,7,HUAWEI-MateBook,6,0,0,0,0,1,0,0,0,1
HUAWEI-MateBook,17,VIVO-X90,4,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
IPAD-11air,1,IPAD-11air,0,0,0,0,1,0,4,12,3,1
IPAD-11air,1,IPAD-11air,3,0,0,0,0,0,4,10,3,0
IPAD-11air,16,HONOR-70_1,4,0,0,0,0,0,1,3,1,0
IPAD-11air,1,IPAD-11air,4,0,0,0,0,1,2,6,1,1
IPAD-11air,1,IPAD-11air,3,0,0,0,0,0,3,9,2,0
IPAD-11air,8,OPPO-FINDX3PRO_2,4,0,0,0,1,0,4,9,3,1
IPAD-11air,1,IPAD-11air,0,0,0,0,0,0,1,6,1,0
IPAD-11air,1,IPAD-11air,1,0,0,0,0,0,4,10,3,0
IPAD-11air,1,IPAD-11air,3,0,0,0,0,0,1,6,1,0
IPAD-11air,1,IPAD-11air,3,0,0,0,0,0,4,11,3,0
IPAD-11air,1,IPAD-11air,3,0,0,0,0,0,4,10,3,0
IPAD-11air,1,IPAD-11air,2,0,0,0,0,0,4,8,3,0
IP-14,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IP-14,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
