Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,A_Mean_IAT,Type_6_Time_Ratio,A_IAT_P95,Type_6_Last_Time,Gap_34_Time_Ratio,A_Retran_intervals,A_IAT_StdDev,Gap_34_Time,Type_3_Last_Time,A_Silence_Total_Duration,Type_5_First_Occurrence_Time,Range_1,A_Silence_Max_Duration
HUAWEI-mate40pro,1.2435190677642822,0.4373888969421386,0.0039490938186645,0.0383866927004125,0.0117351055145263,0.0394909381866455,0.0066621532785837,0.0038186550140381,0.0044878595012155,0.0029139518737792,0.0023500919342041,0.0124380588531493,0.0118250846862792,0,0.0124380588531493
HUAWEI-mate40pro,1.450732946395874,0.3836488723754883,0.002401852607727,0.05792037983022,0.0120514631271363,0.048037052154541,0.0093080776066718,0.0016755035945347,0.0046683385490819,0.0035710334777832,0.0036499500274658,0.0185949802398681,0.0,0,0.0185949802398681
HUAWEI-mate40pro,1.6899819374084473,0.4067649841308594,0.0035854469646107,0.0347770582663577,0.0121345520019531,0.0394399166107177,0.0078694282150592,0.0037335157394409,0.0048043630564046,0.0032010078430174,0.0008549690246582,0.0146629810333252,0.0106308460235595,0,0.0146629810333252
HUAWEI-mate40pro,1.483506202697754,0.3975000381469726,0.003633824261752,0.0416077867800359,0.0123054981231689,0.0399720668792724,0.0071999405003252,0.0043377876281738,0.0047341933399627,0.0028619766235352,0.000878095626831,0.0132408142089844,0.0101921558380126,0,0.0132408142089844
HUAWEI-mate40pro,11.322283029556274,0.3785748481750488,0.0037727139212868,0.0367425802559169,0.0122359991073608,0.0414998531341552,0.008598375925303,0.003715693950653,0.0048106469701972,0.0032551288604736,0.0023589134216308,0.0152339935302735,0.0123560428619384,0,0.0152339935302735
HUAWEI-mate40pro,1.3541231155395508,0.4367520809173584,0.0040550882166082,0.0174744837382107,0.0159474611282348,0.0446059703826904,0.0087784565616246,0.0022042393684387,0.0073242048190238,0.0038340091705322,0.0012450218200683,0.025217056274414,0.0117568969726562,0,0.025217056274414
HUAWEI-mate40pro,0.0,0.4157910346984863,0.0039338827133178,0.0249593739284407,0.0135058641433716,0.0393388271331787,0.0042569930170176,0.0028819441795349,0.0055791523160923,0.0017700195312499,0.0012018680572509,0.0181078910827637,0.0108530521392822,0,0.0181078910827637
HUAWEI-mate40pro,1.528770923614502,0.3934218883514404,0.002980215208871,0.0417875914094094,0.0119034051895141,0.0417230129241943,0.0092544167705471,0.0024798938206263,0.0044618282892032,0.0036408901214599,0.000978946685791,0.0140900611877441,0.0111927986145019,0,0.0140900611877441
HUAWEI-mate40pro,1.700059175491333,0.3865790367126465,0.0034681883725252,0.038538203931098,0.0120364427566528,0.0381500720977783,0.0065473070067779,0.003941535949707,0.0046179738928041,0.0025310516357421,0.0019600391387939,0.0122108459472656,0.0110411643981933,0,0.0122108459472656
HUAWEI-mate50pro,1.7533929347991943,0.1610529422760009,0.0201316177845001,0.0426377302906714,0.0694459915161132,0.1610529422760009,0.0851466680483492,0.002619981765747,0.0303172860182348,0.0137131214141845,0.0319139957427978,0.0910689830780028,0.0631170272827148,2,0.0910689830780028
HUAWEI-mate50pro,1.546670913696289,0.0708351135253906,0.0050596509660993,0.5688715062738978,0.0150613546371459,0.0708351135253906,0.028925898002046,0.0062624386378696,0.005671642836737,0.0020489692687988,0.0082480907440185,0.0202488899230957,0.0182709693908691,1,0.0202488899230957
HUAWEI-mate50pro,1.7652111053466797,0.2010631561279297,0.0167552630106608,0.128502822179007,0.0618098378181457,0.2010631561279297,0.0662773324479437,0.0044658581415812,0.0289362844725754,0.0133259296417236,0.0314860343933105,0.1027100086212158,0.0725159645080566,2,0.1027100086212158
HUAWEI-mate50pro,2.0037310123443604,0.0621359348297119,0.0056487213481556,0.6662497074250721,0.0201081037521362,0.0621359348297119,0.0628124796156816,0.0070875088373819,0.0085515256115939,0.0039029121398926,0.0058889389038085,0.0293440818786621,0.0164690017700195,2,0.0293440818786621
HUAWEI-mate50pro,1.4893670082092283,0.0760998725891113,0.0084555413987901,0.4879098707336798,0.0212168216705322,0.0760998725891113,-0.1504608598121466,0.0074277877807617,0.0080386197970363,-0.0114500522613525,0.0114500522613525,0.0242240428924561,0.0222640037536621,1,0.0242240428924561
