Sample,Type_6_Last_Occurrence_Time,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Exists,Dst_One_Count,Type_Unique_Count,Type_Sequence,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,Type_2_First_Occurrence_Time_Diff,Type_3_First_Occurrence_Time_Diff,Type_4_First_Occurrence_Time_Diff,Type_5_First_Occurrence_Time_Diff,Type_6_First_Occurrence_Time_Diff,Type_Sequence_Descending_Count,Label
25,0.0354580879211425,,0.0354580879211425,0.0,0.0,0,0,6,"1,2,2,2,3,3,4,5,6,6,6",0.0,9.059906005859377e-06,0.0030200481414794,0.0053131580352783,0.0119881629943847,0.0260760784149169,1,3,2,1,1,3,9.059906005859377e-06,0.0030109882354735404,0.0022931098937989005,0.006675004959106399,0.014087915420532199,0,HONOR-70_1
26,0.0334298610687255,,0.0334298610687255,0.0,0.0,0,0,6,"1,2,2,3,3,4,5,6",0.0,0.0012428760528564,0.0021979808807373,0.0059788227081298,0.0132558345794677,0.0315527915954589,1,2,2,1,1,1,0.0012428760528564,0.0009551048278808999,0.0037808418273925005,0.0072770118713379,0.0182969570159912,0,HONOR-70_1
27,0.0387148857116699,,0.0387148857116699,0.0,0.0,0,0,6,"1,2,3,3,4,5,6,6,6,6",0.0,8.821487426757812e-06,0.0017368793487548,0.0049598217010498,0.0113840103149414,0.0256040096282959,1,1,2,1,1,4,8.821487426757812e-06,0.0017280578613280422,0.0032229423522950004,0.006424188613891599,0.014219999313354499,0,HONOR-70_1
28,0.0373718738555908,,0.0373718738555908,0.0,0.0,0,0,6,"1,2,2,2,3,3,4,5,6,6,6",0.0,0.0012438297271728,0.0033907890319824,0.0058679580688476,0.0122928619384765,0.0292069911956787,1,3,2,1,1,3,0.0012438297271728,0.0021469593048096002,0.0024771690368651997,0.0064249038696289,0.0169141292572022,0,HONOR-70_1
29,0.0389559268951416,,0.0389559268951416,0.0,0.0,0,0,6,"1,2,2,2,3,3,4,5,6,6",0.0,8.821487426757812e-06,0.0022718906402587,0.005120038986206,0.0113749504089355,0.0293939113616943,1,3,2,1,1,2,8.821487426757812e-06,0.0022630691528319423,0.0028481483459473,0.0062549114227295,0.018018960952758803,0,HONOR-70_1
30,0.0357038974761962,,0.0357038974761962,0.0,0.0,0,0,6,"1,2,2,2,3,3,3,3,3,3,3,3,3,4,5,6,6,6",0.0,0.0011639595031738,0.0036399364471435,0.0086920261383056,0.015596866607666,0.0223748683929443,1,3,9,1,1,3,0.0011639595031738,0.0024759769439697,0.0050520896911621,0.0069048404693604,0.006778001785278301,0,HONOR-70_1
31,0.029707908630371,,0.029707908630371,0.0,0.0,0,0,6,"1,2,2,2,3,3,4,5,6",0.0,9.059906005859377e-06,0.0021910667419433,0.0045850276947021,0.0131239891052246,0.0149919986724853,1,3,2,1,1,1,9.059906005859377e-06,0.0021820068359374406,0.0023939609527588,0.0085389614105225,0.0018680095672606988,0,HONOR-70_1
32,0.0297009944915771,"1,2,2,2,1,2,2",0.0297009944915771,6.2871739864349365,11.333625733852386,0,0,4,"3,4,5,6,6,6,6,6",0.0,0.0,0.0,0.004655122756958,0.0117290019989013,0.0235040187835693,0,0,1,1,1,5,0.0,0.0,0.004655122756958,0.0070738792419432995,0.011775016784668002,0,HONOR-80_SE_1
33,0.1592609882354736,"1,2,2,1",0.1592609882354736,5.146152973175049,2.584283471107483,1,2,6,"1,2,2,2,1,2,2,2,3,3,4,5,6,6,6,6,6",0.0,2.193450927734375e-05,0.1308851242065429,0.133862018585205,0.1404061317443847,0.1466450691223144,2,6,2,1,1,5,2.193450927734375e-05,0.13086318969726557,0.0029768943786620816,0.006544113159179715,0.0062389373779296875,1,HONOR-80_SE_1
34,0.0285871028900146,"2,1,2,2,2",0.0285871028900146,99.00402808189392,99.02489018440248,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0046260356903076,0.010869026184082,0.0154361724853515,0,0,2,1,1,3,0.0,0.0,0.0046260356903076,0.0062429904937744,0.0045671463012695,0,HONOR-80_SE_1
35,0.0359070301055908,,0.0359070301055908,0.0,0.0,0,0,4,"3,3,4,4,4,4,4,5,6,6,6",0.0,0.0,0.0,0.0045540332794189,0.0128149986267089,0.0278999805450439,0,0,2,5,1,3,0.0,0.0,0.0045540332794189,0.00826096534729,0.015084981918335,0,HONOR-80_SE_1
