Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Time_Ratio,Range_1,A_CV,Range_2,A_Skewness,Range_1_2
HUAWEI-MateBook,0.0,0.0282409191131591,-0.907370980405401,0,2.0100270002225877,0,2.288687239782231,0
HUAWEI-MateBook,0.0,0.0255517959594726,-0.9310080991303716,0,1.671245087294074,0,1.866097616279663,0
HUAWEI-MateBook,0.0,0.0197739601135253,-0.7745544864838793,0,1.4349302037665252,0,1.632667645938791,0
HUAWEI-MateBook,0.0,0.0306000709533691,-0.8890499119567402,0,2.1324525017162657,0,2.234745431601912,0
HUAWEI-MateBook,16.577518939971924,0.0246069431304931,-0.8517958705151679,1,4.563398850453855,1,4.248505896249447,0
HUAWEI-MateBook,0.0,0.0299339294433593,-0.8884207340384854,0,1.5439977632760948,0,1.5553881694892044,0
HUAWEI-PadSE,2.8405749797821045,0.0323750972747802,-0.5587336421412316,1,1.265287359625942,3,1.1187438048341052,0
HUAWEI-PadSE,2.010936975479126,0.0386409759521484,-0.5628239301051382,2,1.3005323094876344,6,1.2016629240570809,1
HUAWEI-PadSE,2.5561230182647705,0.0404098033905029,-0.3545674991592476,1,1.547155854010235,6,2.107716442205683,1
HUAWEI-PadSE,2.2031800746917725,0.0352430343627929,-0.8201325936950354,1,1.645935179673984,6,2.2915379170819032,0
HUAWEI-PadSE,1.981845140457153,0.039355993270874,-0.4707065444566278,1,1.186692318404439,5,0.907940025024172,0
HUAWEI-PadSE,1.9574449062347408,0.0467429161071777,-0.5044171503769369,2,1.529752973718553,5,1.62137140405859,1
HUAWEI-PadSE,12.710445165634155,0.0378730297088623,-0.8029222353022621,2,1.5293010592418854,6,2.2157501540915407,1
HUAWEI-PadSE,2.135658025741577,0.0399360656738281,-0.670575031044035,2,1.3510129204714991,6,1.6455157924988444,1
HUAWEI-PadSE,2.802182912826538,0.043997049331665,-0.4087093645176841,2,1.4731032658216718,5,2.058961571972779,1
HUAWEI-PadSE,2.705784797668457,0.0358469486236572,-0.8188928721076384,2,1.548937950855227,6,1.9918702252588785,1
HUAWEI-PadSE,1.9426298141479488,0.0355370044708251,-0.6664877593876016,2,1.1902803289223478,5,1.330367105566631,1
HUAWEI-PadSE,2.076389074325561,0.0390200614929199,-0.7339089098263478,2,1.4308818214801864,3,2.070864291099919,1
HUAWEI-PadSE,2.1296639442443848,0.0377471446990966,-0.6071448873505416,2,1.285307026253867,6,1.1611727025192389,1
HUAWEI-PadSE,1.9020259380340576,0.0352349281311035,-0.7303804149242811,2,1.2471424098037749,6,1.658898390195597,1
HUAWEI-PadSE,2.0787792205810547,0.0429780483245849,-0.5691794766535566,2,1.2231328390755936,5,1.0015265187661442,1
OPPO-A36,11.566805124282835,0.2029480934143066,-0.8614516003975441,10,1.8197065014272071,4,2.290178025656877,3
OPPO-A36,11.47411608695984,0.198958158493042,-0.8553405608928073,8,1.8370071794788625,2,2.266291263764481,2
OPPO-A36,11.344034194946287,0.2091600894927978,-0.8677755474015739,6,1.872518298251179,3,2.307944750685593,2
OPPO-A36,11.4584698677063,0.2072620391845703,-0.870424009570699,7,1.9106603855162467,5,2.314483491126204,4
OPPO-A36,11.331866979599,0.1995999813079834,-0.8554915711379707,6,1.8163227092524452,5,2.278335104335897,3
OPPO-A36,11.555366039276125,0.2064769268035888,-0.8282039705459532,6,1.7341649623179074,4,2.264770096033253,3
OPPO-A36,11.380383968353271,0.1996359825134277,-0.8686856141038104,5,1.854677278176932,4,2.2776558389859267,3
OPPO-A36,11.314232110977173,0.1993861198425293,-0.8666449037769373,8,1.8472861347343927,3,2.267266257467654,3
OPPO-A36,11.250411033630373,0.1961290836334228,-0.8897407688801096,6,2.2093397559251944,4,2.198267989263827,2
OPPO-A36,11.557728052139282,0.2061119079589843,-0.83697668930799,7,1.6916824765537812,3,2.106739518305505,2
OPPO-A36,11.170711040496826,0.2001729011535644,-0.8668498521890549,4,1.804998753344208,3,2.2713503849264005,2
OPPO-A36,11.170842170715332,0.2006731033325195,-0.8710537446357539,7,1.94353398924736,3,2.449535562824349,2
OPPO-A36,11.260958909988403,0.198758840560913,-0.8635538682068722,5,1.7369683588251368,5,2.1086634048173187,3
OPPO-A36,11.146858930587769,0.2067430019378662,-0.8355484620183753,3,1.723043009249706,4,2.28848953196292,2
OPPO-A36,11.241205215454102,0.1956310272216797,-0.8647042908537832,6,1.840903158099631,5,2.2534122880848098,4
OPPO-FINDX3PRO_2,10.726315021514893,0.0747480392456054,-0.3435008101659877,2,1.8671861365842384,6,2.233385141978653,1
OPPO-FINDX3PRO_2,10.744894981384276,0.0529251098632812,-0.5196410552111862,0,1.0572781379320626,1,0.6812005381717547,0
OPPO-FINDX3PRO_2,10.71226406097412,0.0590541362762451,-0.3998207443952338,2,1.57846803144794,4,2.308220040549521,1
OPPO-FINDX3PRO_2,10.72765612602234,0.0625419616699218,-0.3816788655077765,2,1.6355819159953335,6,2.366751242399998,1
OPPO-FINDX3PRO_2,10.619334936141968,0.055272102355957,-0.3534862052901283,2,1.6007384464722547,4,2.3828640386870426,1
OPPO-FINDX3PRO_2,10.696164846420288,0.0739998817443847,-0.2872690719058696,2,1.815450103203896,2,2.212159433181471,1
OPPO-FINDX3PRO_2,10.709430932998655,0.078042984008789,-0.3208110320893508,1,1.7782888775447545,6,1.9850037773162124,0
OPPO-FINDX3PRO_2,10.7396399974823,0.084501028060913,-0.3377461394999759,1,1.4077324599298686,5,1.964886848748877,1
OPPO-FINDX3PRO_2,10.746639013290403,0.0677790641784668,-0.241724882688559,0,2.2700941657890388,2,2.55034290180166,0
OPPO-FINDX3PRO_2,10.719262838363647,0.051865816116333,-0.6429270804124274,1,1.2326160770673122,3,0.9817471361655412,0
OPPO-FINDX3PRO_2,1.90866494178772,0.0688438415527343,-0.6946133706433196,2,1.1786591517692444,6,1.3812865361470887,1
