Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Gap_23_Time,Gap_23_Time_Ratio,Type_3_Last_Time,A_IAT_StdDev,Type_6_Time_Ratio,Range_1,A_Silence_Max_Duration,A_Silence_Avg_Duration,A_Silence_Total_Duration,Gap_34_Time_Ratio,Range_2,Gap_34_Time,Probe_Time_Ratio,Range_1_2,A_Kurtosis,A_CV,A_IAT_Skew_Ratio,A_Skewness
HUAWEI-mate30_1,1.3005189895629885,0.3434889316558838,1.0967254638599992e-05,3.1928989926194406e-05,0.0009529590606689,0.0042146040929078,-0.0521851576007999,1,0.0125908851623534,0.0125908851623534,0.0125908851623534,0.0058138526005121,3,0.0019969940185546,0.0027160464691742,0,0.1124942977508158,1.318220045137939,7.036715961243555,1.167248963090375
HUAWEI-mate30_1,1.272536039352417,0.3796350955963135,-5.960464477599995e-06,-1.570050963870337e-05,0.0009260177612304,0.0043906138732693,-0.0655496277409162,1,0.0139439105987548,0.0139439105987548,0.0139439105987548,0.0075519451361391,3,0.0028669834136963,0.0024549316870825,0,1.2243920839161877,1.2655270058556152,2.5572241183163187,1.4660057962332884
HUAWEI-mate30_1,1.1363718509674072,0.4117779731750488,-0.0023009777069091,-0.005587908671188,0.0035789012908935,0.00344975589656,-0.0553452506539779,1,0.0111410617828369,0.0111410617828369,0.0111410617828369,0.0055421678375935,3,0.0022821426391601,0.0085940657347886,0,0.8296003725203551,1.3110174442672728,5.329475916388984,1.4033381054344654
HUAWEI-mate30_1,1.3383290767669678,0.4578220844268799,-7.867813110400135e-06,-1.718530708331683e-05,0.0023360252380371,0.006230454293533,-0.0676090811328761,1,0.0201079845428467,0.0201079845428467,0.0201079845428467,0.002406984525412,3,0.0011019706726074,0.0030360709180338,0,3.0426646807184223,1.693929472498577,6.1592800236059935,2.0718330630275266
HUAWEI-mate30_1,1.4222369194030762,0.3508188724517822,-1.0967254638700064e-05,-3.126187186582285e-05,0.0032789707183837,0.0043666145198816,-0.0760050861706312,1,0.0148930549621582,0.0148930549621582,0.0148930549621582,0.0046858827503108,3,0.0016438961029053,0.0063964508260949,0,2.5802400017641407,1.3163623761429633,3.1657722987671684,1.872028163159348
HUAWEI-mate50pro,1.7533929347991943,0.1610529422760009,-0.0302820205688476,-0.1880252551794581,0.0319139957427978,0.0303172860182348,-0.9573622697093286,2,0.0910689830780028,0.0910689830780028,0.0910689830780028,0.0851466680483492,6,0.0137131214141845,0.1880252551794581,1,1.9751374558956971,1.505953785868963,4.171161927350539,1.8338802912197785
HUAWEI-mate50pro,1.546670913696289,0.0708351135253906,0.0032961368560791,0.046532527330497,0.0082480907440185,0.005671642836737,-0.4311284937261022,1,0.0202488899230957,0.0202488899230957,0.0202488899230957,0.028925898002046,3,0.0020489692687988,0.0369432925844141,0,1.6587591925591605,1.1209553533906182,3.0234726279690043,1.542519625970434
HUAWEI-mate50pro,1.7652111053466797,0.2010631561279297,-0.029304027557373,-0.14574538727885,0.0314860343933105,0.0289362844725754,-0.8714971778209929,2,0.1027100086212158,0.1027100086212158,0.1027100086212158,0.0662773324479437,6,0.0133259296417236,0.1564684817151255,1,4.777338266229647,1.726996732558857,5.728075548749368,2.407392736170896
HUAWEI-mate50pro,2.0037310123443604,0.0621359348297119,0.004734992980957,0.0762037779576922,0.0058889389038085,0.0085515256115939,-0.3337502925749279,2,0.0293440818786621,0.0293440818786621,0.0293440818786621,0.0628124796156816,4,0.0039029121398926,0.0180724971893612,1,3.5788345635246586,1.5138869638853916,1.7856444715943762,2.1335407075488857
HUAWEI-mate50pro,1.4893670082092283,0.0760998725891113,0.0079140663146972,0.103995789289003,0.0114500522613525,0.0080386197970363,-0.5120901292663201,1,0.0242240428924561,0.0242240428924561,0.0242240428924561,-0.1504608598121466,4,-0.0114500522613525,0.0463460176824796,1,-0.4106160115870558,0.9506925006820476,1.300915828161728,0.7915926709604427
HUAWEI-mate50pro,1.532784938812256,0.0657949447631836,0.0032360553741454,0.0491839515299095,0.008599042892456,0.011115973758301,-0.8385151686451846,2,0.0355470180511474,0.0355470180511474,0.0355470180511474,0.0486186604049809,6,0.0031988620758057,0.0815106318215412,1,2.915568462549026,1.520538761523371,3.879645226205517,2.0745036449748966
HUAWEI-mate50pro,1.654695987701416,0.0634770393371582,0.0068140029907227,0.107345948422864,0.0078530311584472,0.0067511560797795,-0.4632402100344797,2,0.0219259262084961,0.0219259262084961,0.0219259262084961,0.0676302010952452,5,0.0042929649353028,0.0163047152590487,1,0.8935922710147408,1.1699146282347714,1.5068865933577489,1.259723256053109
HUAWEI-mate50pro,1.8598721027374268,0.0654621124267578,0.0049710273742675,0.0759374726843611,0.0061750411987304,0.0081597038652801,-0.3683058477317094,2,0.0256040096282959,0.0256040096282959,0.0256040096282959,0.0346762914833487,3,0.002269983291626,0.0179809737478509,1,1.061376206533538,1.3711250552524663,5.889507404684314,1.4516762572411022
