Label	A_Burst_Duration	A_Burst_Rate	A_CV	A_IAT_IQR	A_IAT_Median	A_IAT_P10	A_IAT_P90	A_IAT_P95	A_IAT_Q1	A_IAT_Q3	A_IAT_Skew_Ratio	A_IAT_StdDev	A_Kurtosis	A_Mean_IAT	A_Retran_intervals	A_Silence_Avg_Duration	A_Silence_Max_Duration	A_Silence_Rate	A_Silence_Total_Duration	A_Skewness	Assoc_Time	Assoc_Time_Ratio	First_Stage_Time_Diff	Gap_23_Time	Gap_23_Time_Ratio	Gap_34_Time	Gap_34_Time_Ratio	Gap_45_Time	Gap_45_Time_Ratio	Next_Packet_After_First_Stage	Probe_Time	Probe_Time_Ratio	Trans_3_3	Trans_4_5	Trans_4_6	Trans_5_1	Trans_5_6	Type_1_Count	Type_1_First_Occurrence_Time	Type_1_Last_Time	Type_2_Count	Type_2_First_Occurrence_Time	Type_2_Last_Time	Type_3_Count	Type_3_First_Occurrence_Time	Type_3_Last_Time	Type_4_Count	Type_4_First_Occurrence_Time	Type_4_Last_Time	Type_5_Count	Type_5_First_Occurrence_Time	Type_5_Last_Time	Type_6_Count	Type_6_First_Occurrence_Time	Type_6_Last_Time	Type_6_Time	Type_6_Time_Ratio	Range_1	Range_2	Range_1_2
HONOR-70_2	0.004005909	0.727272727	1.087911829	0.00407213	0.002009392	2.81E-05	0.008377504	0.009472704	0.000970066	0.005042195	3.169174181	0.003624035	-0.410961789	0.003331184	0.002422428	0.010567904	0.010567904	0.1	0.010567904	0.988376758	0.005791903	0.173869167	0.033311844	0.002018929	0.060606928	0.002793074	0.083846264	0.005791903	0.173869167	5.833502054	0.001977921	0.059375895	1	1	0	0	1	1	0	0	3	2.79E-05	0.001977921	2	0.003996849	0.004024982	1	0.006818056	0.006818056	1	0.012609959	0.012609959	3	0.023177862	0.033311844	0.010133982	0.304215574	2	6	1
HONOR-70_2	0.004715919	0.636363636	1.221660527	0.004549801	0.00245738	2.56E-05	0.007745695	0.012666798	0.001294553	0.005844355	2.152013195	0.005240322	2.266197669	0.004289508	0.003334284	0.0175879	0.0175879	0.1	0.0175879	1.750514816	0.006210089	0.144773921	0.042895079	-0.001219034	-0.028418976	0.004195929	0.097818414	0.006210089	0.144773921	5.764261961	0.00278306	0.064880638	1	1	0	0	1	1	0	0	2	0.001536131	0.00278306	2	0.001564026	0.001569033	1	0.005764961	0.005764961	1	0.01197505	0.01197505	4	0.02956295	0.042895079	0.013332129	0.310807881	2	5	1
HONOR-70_2	0.002810001	0.545454545	1.053066924	0.005509138	0.002208471	2.69E-05	0.007382488	0.008226204	0.000327826	0.005836964	2.342804707	0.003341375	-1.059413923	0.003172994	0.002274275	0.00906992	0.00906992	0.1	0.00906992	0.666780387	0.006798983	0.21427659	0.031729937	0.001511812	0.047646241	0.002950907	0.093000714	0.006798983	0.21427659	5.729249001	0.001271963	0.040087162	1	1	0	0	1	1	0	0	3	2.69E-05	0.001271963	2	0.002783775	0.002810001	1	0.005760908	0.005760908	1	0.012559891	0.012559891	3	0.02162981	0.031729937	0.010100126	0.318315362	2	5	1
HONOR-70_2	0.002131224	0.571428571	1.19449775	0.004976988	0.002253056	2.47E-05	0.010169792	0.011883926	2.81E-05	0.005005121	3.513777778	0.004353679	0.061623401	0.003644778	0.002820641	0.013203859	0.013203859	0.076923077	0.013203859	1.131033099	0.006833076	0.144212142	0.047382116	0.00434494	0.091700003	0.002606869	0.055017989	0.006833076	0.144212142	5.735748053	0.000818014	0.017264196	3	1	0	0	1	1	0	0	3	2.81E-05	0.000818014	4	0.005162954	0.006476164	1	0.009083033	0.009083033	1	0.015916109	0.015916109	4	0.02692008	0.047382116	0.020462036	0.43185146	2	5	1
HONOR-70_2	0.005479097	0.5	0.738382995	0.004517317	0.003227949	0.000892067	0.007084846	0.007864952	0.002148867	0.006666183	1.194844523	0.002914647	-1.21135794	0.003947337	0.003686786	0.008645058	0.008645058	0.111111111	0.008645058	0.272457462	0.006694794	0.188447523	0.035526037	0.002148867	0.060487091	0.002185106	0.061507178	0.006694794	0.188447523	5.742671967	0.00110507	0.031105921	1	1	0	0	1	1	0	0	1	0.00110507	0.00110507	2	0.003253937	0.003293991	1	0.005479097	0.005479097	1	0.012173891	0.012173891	4	0.020818949	0.035526037	0.014707088	0.413980551	2	6	1
HONOR-70_2	0.003114939	0.5	1.296786889	0.002779007	0.002313137	7.87E-06	0.008597183	0.01256361	0.000855923	0.00363493	2.716676974	0.00514651	2.121309599	0.003968663	0.002924538	0.016530037	0.016530037	0.111111111	0.016530037	1.786021507	-0.005428076	-0.15197047	0.035717964	0.002243996	0.062825408	0.002313137	0.064761167	-0.005428076	-0.15197047	5.717315912	0.000864029	0.024190319	1	0	1	0	0	1	0	0	2	8.11E-06	0.000864029	2	0.003108025	0.003114939	1	0.005428076	0.005428076	0	0	0	4	0.021958113	0.035717964	0.013759851	0.385236163	2	6	1
HONOR-70_2	0.00686717	0.6	0.729428802	0.00109911	0.002594948	0.001427221	0.007029724	0.007765388	0.002497911	0.003597021	1.709004043	0.002569299	-0.175588848	0.003522343	0.003671587	0.008501053	0.008501053	0.111111111	0.008501053	0.805980537	0.006661892	0.210147107	0.031701088	0.002497911	0.078795764	0.002594948	0.081856743	0.006661892	0.210147107	4.539139032	0.001780987	0.05618062	1	1	0	0	1	1	0	0	1	0.001780987	0.001780987	2	0.004278898	0.004291058	1	0.006886005	0.006886005	1	0.013547897	0.013547897	4	0.017026901	0.031701088	0.014674187	0.462892211	1	3	0
HONOR-70_2	0.001313925	0.5	1.27068244	0.005709171	0.001283884	7.15E-06	0.007766962	0.011206985	2.74E-05	0.005736589	5.049582173	0.004596753	0.912496302	0.003617547	0.003892243	0.014647007	0.014647007	0.090909091	0.014647007	1.319671473	0.006201029	0.155832095	0.039793015	-7.15E-06	-0.000179744	0.003308058	0.083131621	0.006201029	0.155832095	5.72167182	0.001307964	0.032869194	0	1	0	0	1	1	0	0	3	2.69E-05	0.001307964	2	0.001300812	0.001313925	1	0.004621983	0.004621983	1	0.010823011	0.010823011	4	0.025470018	0.039793015	0.014322996	0.359937449	2	3	1
HONOR-70_2	0.006567955	0.75	1.163304079	0.005903363	0.003476143	0.000990868	0.007744074	0.014769554	0.001136541	0.007039905	1.227777778	0.006121843	2.989875551	0.005262462	0.003238281	0.021795034	0.021795034	0.090909091	0.021795034	1.907714062	0.008799076	0.152004152	0.057887077	0.003476143	0.060050413	0.004224062	0.072970724	0.007744074	0.133778975	5.726178169	0.001235962	0.021351258	1	1	0	0	1	1	0	0	2	0.001218081	0.001235962	2	0.004712105	0.005702972	1	0.009927034	0.009927034	2	0.017671108	0.01872611	4	0.040521145	0.057887077	0.017365932	0.299996705	2	6	1
HONOR-70_2	0.007385969	0.625	0.985240982	0.002902985	0.004068851	0.002007437	0.011202097	0.014892101	0.002691984	0.005594969	1.753134888	0.005802628	1.538272109	0.005889552	0.008500338	0.018582106	0.018582106	0.142857143	0.018582106	1.755105675	0.006282091	0.152378584	0.041226864	0.002002001	0.048560589	0.003372908	0.081813345	0.006282091	0.152378584	5.756701946	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0.002002001	0.002002001	1	0.005374908	0.005374908	1	0.011657	0.011657	4	0.015725851	0.041226864	0.025501013	0.618553303	2	6	1
