Label,A_Burst_Duration,A_CV,A_IAT_IQR,A_IAT_Median,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Q1,A_IAT_Q3,A_IAT_StdDev,A_Kurtosis,A_Mean_IAT,A_Silence_Avg_Duration,A_Silence_Count,A_Silence_Max_Duration,A_Silence_Total_Duration,A_Skewness,Assoc_Time,Dst_One_Count,First_Stage_Time_Diff,Gap_23_Time,Gap_34_Time,Gap_45_Time,Next_Packet_After_First_Stage,Probe_Time,Trans_1_1,Trans_1_2,Trans_1_3,Trans_1_4,Trans_1_5,Trans_1_6,Trans_2_1,Trans_2_2,Trans_2_3,Trans_2_4,Trans_2_5,Trans_2_6,Trans_3_1,Trans_3_2,Trans_3_3,Trans_3_4,Trans_3_5,Trans_3_6,Trans_4_1,Trans_4_2,Trans_4_3,Trans_4_4,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_2,Trans_5_3,Trans_5_4,Trans_5_5,Trans_5_6,Trans_6_1,Trans_6_2,Trans_6_3,Trans_6_4,Trans_6_5,Trans_6_6,Type_1_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_2_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_3_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_4_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_5_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_6_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Time,Type_Sequence,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Class_Level1,Class_Level2,Final_Class
HONOR-60SE_2,0.0067930221557617,0.9112417317856624,0.0216909646987914,0.0131499767303467,0.0019579887390137,0.031055450439453,0.0320696830749511,0.0025000572204589,0.0241910219192504,0.0132011535575632,-1.4563157227381651,0.0144869940621512,0.0330839157104492,1,0.0330839157104492,0.0330839157104492,0.3538694972395055,0.0186789035797119,0,0.1014089584350586,0.0,0.0131499767303467,0.0186789035797119,5.074958086013794,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,0.029703140258789,1,0.0428531169891357,0.0428531169891357,1,0.0615320205688476,0.0615320205688476,4,0.0946159362792968,0.1014089584350586,0.0067930221557617,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0089800357818603,1.7419670281510704,0.0373511314392089,0.0058679580688476,0.0013339042663574,0.1881211757659912,0.2361436367034911,0.0023059844970703,0.0396571159362793,0.0999296810271733,0.982039041699598,0.0573660002814398,0.2841660976409912,1,0.2841660976409912,0.2841660976409912,1.5922233972324935,0.0396661758422851,0,0.516294002532959,0.0,0.0135128498077393,0.0396571159362793,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0.0,0.2900340557098388,2,0.3035469055175781,0.303555965423584,1,0.3432130813598633,0.3432130813598633,4,0.5073230266571045,0.516294002532959,0.0089709758758544,"3,3,3,4,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0001060962677001,1.5793346106167765,0.002386450767517,0.0013959407806397,8.106231689453125e-06,0.0100350379943848,0.0114790201187134,1.2516975402799072e-05,0.0023989677429198,0.0044422455503498,0.8075513102874563,0.0028127323497425,0.0129230022430419,1,0.0129230022430419,0.0129230022430419,1.5511838689516486,0.0100350379943848,0,0.0309400558471679,0.0,0.0028247833251952,0.0100350379943848,6.305099964141846,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,2,0.0,8.106231689453125e-06,1,0.0028328895568847,0.0028328895568847,1,0.0128679275512695,0.0128679275512695,8,0.0257909297943115,0.0309400558471679,0.0051491260528564,"3,3,4,5,6,6,6,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-60SE_2,0.0044438838958738,1.3104020751978471,0.0026248097419739,0.0023398399353026,0.000740361213684,0.0098030090332031,0.0131630659103393,0.0011317133903502,0.0037565231323242,0.0054134131806403,1.586140876389325,0.0041311085224151,0.0165231227874756,1,0.0165231227874756,0.0165231227874756,1.718158451765008,0.0069229602813721,0,0.0330488681793212,0.0,0.002457857131958,0.0069229602813721,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0.0,0.0011579990386962,1,0.0036158561706542,0.0036158561706542,1,0.0105388164520263,0.0105388164520263,5,0.0270619392395019,0.0330488681793212,0.0059869289398192,"3,3,4,5,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-70Pro,0.0028612613677978,0.8791594601713638,0.0054184198379516,0.0067670345306395,0.0006215572357178,0.0093595027923584,0.0112012147903442,0.0014270544052124,0.006845474243164,0.0045668781113139,-0.7787972299651993,0.0051945958818708,0.0130429267883301,1,0.0130429267883301,0.0130429267883301,0.4654296808485363,0.006903886795044,0,0.0363621711730957,0.0,0.0067670345306395,0.006903886795044,4.527734994888306,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,7.152557373046875e-06,1,0.0067741870880126,0.0067741870880126,1,0.0136780738830566,0.0136780738830566,4,0.0267210006713867,0.0363621711730957,0.009641170501709,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-70Pro,0.0040891170501709,0.9504904718866906,0.0053235292434691,0.0061838626861571,0.0008664608001709,0.0118857383728027,0.0144339084625244,0.002029538154602,0.0073530673980712,0.0056976734594315,0.0338167806124389,0.0059944561549595,0.016982078552246,1,0.016982078552246,0.016982078552246,0.969831013687342,0.0061838626861571,0,0.0419611930847168,0.0,0.0084881782531738,0.0061838626861571,4.495343208312988,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,3.0040740966796875e-05,1,0.0085182189941406,0.0085182189941406,1,0.0147020816802978,0.0147020816802978,4,0.0316841602325439,0.0419611930847168,0.0102770328521729,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-70Pro,0.005605936050415,0.8298609591965965,0.005165696144104,0.003422975540161,0.0013463973999023,0.0107290744781494,0.0118960142135619,0.0027893781661987,0.0079550743103027,0.0045051982746214,-0.8347830999245396,0.0054288591657366,0.0130629539489745,1,0.0130629539489745,0.0130629539489745,0.5751662174259875,0.0067369937896729,0,0.0380020141601562,0.0,0.0033528804779052,0.0067369937896729,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0.0,2.7179718017578125e-05,1,0.0033800601959228,0.0033800601959228,1,0.0101170539855957,0.0101170539855957,4,0.0231800079345703,0.0380020141601562,0.0148220062255859,"3,3,4,5,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-70Pro,0.0034861564636231,1.5082078784815975,0.0082451105117797,0.0027495622634887,1.931190490724044e-05,0.0219789505004882,0.0283899784088134,0.0007089972496033,0.008954107761383,0.0121026348156988,1.044669738585957,0.008024513721466,0.0348010063171387,1,0.0348010063171387,0.0348010063171387,1.5611233653202297,0.0064442157745361,0,0.0641961097717285,0.0,0.0,0.0064442157745361,6.5000200271606445,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0.0,0.0,1,0.0029809474945068,0.0029809474945068,1,0.0094251632690429,0.0094251632690429,6,0.0259089469909667,0.0641961097717285,0.0382871627807618,"3,4,5,6,6,6,6,6,6",2,1,1,0,0,0,D0,NOPR,D0NOPR
HONOR-70Pro,0.0026440620422363,0.8235723253408195,0.0102081298828124,0.0095129013061523,0.0010634422302246,0.0147610187530517,0.0154069900512695,0.002614974975586,0.0128231048583984,0.0067587335134878,-1.5478272991411994,0.0082066059112548,0.0160529613494873,1,0.0160529613494873,0.0160529613494873,-0.1249296322571155,0.0,0,0.0410330295562744,0.0,0.0095129013061523,0.0,6.503082990646362,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,2.9087066650390625e-05,1,0.0095419883728027,0.0095419883728027,0,0.0,0.0,3,0.0223650932312011,0.0410330295562744,0.0186679363250733,"3,3,4,6,6,6",3,1,1,0,0,1,D0,NOPR,D0NOPR
HONOR-70Pro,0.0009751319885254,1.5663734150291435,0.0082949399948119,0.0024604797363281,0.0002954006195068,0.0181482315063476,0.0211900711059569,0.0007277727127075,0.0090227127075195,0.0114188710986706,-0.7278148516326857,0.0072900056838989,0.0242319107055663,1,0.0242319107055663,0.0242319107055663,1.0823023740106044,0.0,0,0.0291600227355957,0.0,0.0,0.0,4.5212931632995605,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,7.152557373046875e-06,0,0.0,0.0,0,0.0,0.0,3,0.0242390632629394,0.0291600227355957,0.0049209594726562,"3,3,6,6,6",4,1,1,0,1,1,D0,NOPR,D0NOPR
