Label,Type_Sequence,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Count,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,lack,excess,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2
HONOR-60SE_2,"3,3,4,5,6,6,6,6,6,6,6",,0.1222200393676757,0.0,0.0,0,0.0,0.0,0.0,0.0786390304565429,0.0967628955841064,0.1022720336914062,0,0,2,1,1,7,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,0,0
HONOR-60SE_2,"3,3,4,5,6,6,6,6","2,2",0.1014089584350586,5.074958086013794,0.0,0,0.0,0.0,0.0,0.0428531169891357,0.0615320205688476,0.0946159362792968,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,2,0
HONOR-60SE_2,"3,3,3,4,4,5,6,6,6,6",,0.516294002532959,0.0,0.0,0,0.0,0.0,0.0,0.3035469055175781,0.3432130813598633,0.5073230266571045,0,0,3,2,1,4,"(1, 2)","[(3, 3, 3, 4), (4, 4, 5)]",2,1,2,0,0,0,0,0,0
HONOR-60SE_2,"3,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6","6,6,6,6,6",0.076829195022583,1.0628330707550049,0.0,0,0.0,0.0,0.0,0.0270831584930419,0.046598196029663,0.0661392211914062,0,0,1,4,1,17,"(1, 2)","[(4, 4, 4, 4, 5)]",2,1,2,0,0,0,0,0,0
HONOR-60SE_2,"3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6",,0.4511299133300781,0.0,0.0,0,0.0,0.0,0.0,0.3901281356811523,0.4315669536590576,0.4458999633789062,0,0,2,18,1,6,"(1, 2)","[(3, 3, 4), (4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5)]",2,1,2,0,0,0,0,0,0
HONOR-60SE_2,"3,3,4,5,6,6,6,6,6,6,6,6","2,2,2,2,2",0.0309400558471679,6.305099964141846,0.0,0,0.0,0.0,0.0,0.0028328895568847,0.0128679275512695,0.0257909297943115,0,0,2,1,1,8,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,5,0
HONOR-60SE_2,"3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,6,6,6,6","2,2,2,2,2",0.7822740077972412,6.824976921081543,0.0,0,0.0,0.0,0.0,0.164097785949707,0.2277808189392089,0.7777669429779053,0,0,13,7,1,4,"(1, 2)","[(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4), (4, 4, 4, 4, 4, 4, 4, 5)]",2,1,2,0,0,0,0,5,0
HONOR-60SE_2,"3,3,4,5,6,6,6,6,6",,0.0330488681793212,0.0,0.0,0,0.0,0.0,0.0,0.0036158561706542,0.0105388164520263,0.0270619392395019,0,0,2,1,1,5,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,0,0
HONOR-60SE_2,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6","2,2,2,2,2,2",0.3187811374664306,6.438904047012329,0.0,0,0.0,0.0,0.0,0.1644129753112793,0.193648099899292,0.3123180866241455,0,0,22,20,1,5,"(1, 2)","[(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4), (4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5)]",2,1,2,0,0,0,0,6,0
HONOR-70Pro,"3,3,4,5,6,6,6,6","1,2,2,2,2,2,2",0.0363621711730957,4.527734994888306,4.527734994888306,1,0.0,0.0,0.0,0.0067741870880126,0.0136780738830566,0.0267210006713867,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,1,6,0
