Label,A_Burst_Duration,A_Burst_Rate,A_CV,A_IAT_IQR,A_IAT_Median,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Q1,A_IAT_Q3,A_IAT_Skew_Ratio,A_IAT_StdDev,A_Kurtosis,A_Mean_IAT,A_Retran_intervals,A_Silence_Avg_Duration,A_Silence_Max_Duration,A_Silence_Rate,A_Silence_Total_Duration,A_Skewness,Assoc_Time,Assoc_Time_Ratio,First_Stage_Time_Diff,Gap_23_Time,Gap_23_Time_Ratio,Gap_34_Time,Gap_34_Time_Ratio,Gap_45_Time,Gap_45_Time_Ratio,Next_Packet_After_First_Stage,Probe_Time,Probe_Time_Ratio,Trans_3_3,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_6,Type_1_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_2_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_3_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_4_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_5_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_6_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Time,Type_6_Time_Ratio,Range_1,Range_2,Range_1_2,DBSCAN_Cluster
OPPO-FINDX3_2,0.0084149837493896,0.6,0.946639711901636,0.0049958229064941,0.0060009956359863,0.0009199619293212,0.0165931701660156,0.0188876152038573,0.0025460720062256,0.0075418949127197,1.7650695272149026,0.0069031028422935,-0.124005255235069,0.0072922176784939,0.0088440179824829,0.0211820602416991,0.0211820602416991,0.1111111111111111,0.0211820602416991,0.9982147666274104,0.0075418949127197,0.1149154291028506,0.0656299591064453,0.0047159194946289,0.0718562004126826,0.0025460720062256,0.0387943561277574,0.0075418949127197,0.1149154291028506,9.353617906570436,0.0011529922485351,0.0175680781190958,1,1,0,0,1,1,0.0,0.0,2,4.0531158447265625e-06,0.0011529922485351,2,0.005868911743164,0.0129129886627197,1,0.0154590606689453,0.0154590606689453,1,0.023000955581665,0.023000955581665,3,0.0384469032287597,0.0656299591064453,0.0271830558776855,0.4141866953413359,1,1,0,-1
OPPO-FINDX3_2,0.0052580833435058,0.6363636363636364,1.8847878039332555,0.003338873386383,0.0029709339141846,2.722740173339636e-05,0.0100916147232056,0.024854815006256,0.001197874546051,0.004536747932434,2.3967819597142888,0.0118969393137865,4.613111915585344,0.006312084197998,0.0017854213714599,0.0396180152893066,0.0396180152893066,0.1,0.0396180152893066,2.509394189546195,0.0068109035491943,0.1079026092737255,0.0631208419799804,0.0028150081634522,0.0445971263239013,0.0049200057983398,0.0779458201761669,0.0068109035491943,0.1079026092737255,9.457815885543823,0.0024390220642089,0.038640518530828,0,1,0,0,1,1,0.0,0.0,3,2.9802322387695312e-05,0.0024390220642089,1,0.0052540302276611,0.0052540302276611,1,0.0101740360260009,0.0101740360260009,1,0.0169849395751953,0.0169849395751953,4,0.0566029548645019,0.0631208419799804,0.0065178871154785,0.103260459002523,4,6,3,-1
OPPO-FINDX3_2,0.0028412342071533,0.5833333333333334,1.4869394131092928,0.0041520595550537,0.0021708011627197,2.694129943847656e-05,0.0154840946197509,0.0192229747772217,0.0004044771194457,0.0045565366744995,6.132894014277967,0.0074493056198918,1.2255656449234582,0.0050098245794122,0.0050794680913289,0.0229618549346924,0.0229618549346924,0.0909090909090909,0.0229618549346924,1.6267792636996017,0.006389856338501,0.115951371463183,0.0551080703735351,7.152557373100001e-06,0.0001297914683751,0.002723217010498,0.0494159383923155,0.006389856338501,0.115951371463183,9.341399908065796,0.00083589553833,0.015168296270657,1,1,0,0,1,1,0.0,0.0,3,2.694129943847656e-05,0.00083589553833,2,0.0008430480957031,0.0030138492584228,1,0.0057370662689208,0.0057370662689208,1,0.0121269226074218,0.0121269226074218,4,0.0276110172271728,0.0551080703735351,0.0274970531463623,0.4989659946352864,2,6,1,-1
OPPO-FINDX3_2,0.006037950515747,0.7272727272727273,1.3504334984370667,0.0055584311485291,0.0032919645309447,2.393722534182966e-05,0.0113390684127807,0.01962012052536,0.0015240311622619,0.007082462310791,2.444468585913464,0.0082853103507353,2.982445762031566,0.0061352968215942,0.0065234184265136,0.0279011726379394,0.0279011726379394,0.1,0.0279011726379394,1.989742814074004,0.0072259902954102,0.1177773546338799,0.0613529682159423,0.0066518783569336,0.1084198295593649,0.0040371417999267,0.0658018987071218,0.0072259902954102,0.1177773546338799,9.354969024658203,0.0013360977172851,0.0217772302813854,1,1,0,0,1,2,0.0,1.4066696166992188e-05,1,0.0013360977172851,0.0013360977172851,2,0.0079879760742187,0.0080130100250244,1,0.0120501518249511,0.0120501518249511,1,0.0192761421203613,0.0192761421203613,4,0.0287749767303466,0.0613529682159423,0.0325779914855957,0.5309929157939332,4,5,2,-1
OPPO-FINDX3_2,0.0060760974884031,0.6,1.040768296186,0.004802703857422,0.0065810680389404,2.0647048950219943e-05,0.0156637668609618,0.0192994594573974,0.0023910999298095,0.0071938037872315,1.3801253486939524,0.0073400746359326,0.4529380995784136,0.0070525540245903,0.0112609863281249,0.022935152053833,0.022935152053833,0.1111111111111111,0.022935152053833,1.167516997083158,0.0068409442901611,0.1077772560803827,0.0634729862213134,-6.91413879390021e-06,-0.0001089304160007,0.0065879821777343,0.1037919053432252,0.0068409442901611,0.1077772560803827,9.36604619026184,0.0024220943450927,0.0381594515916976,0,1,0,0,1,1,0.0,0.0,2,0.0023910999298095,0.0024220943450927,1,0.0024151802062988,0.0024151802062988,1,0.0090031623840332,0.0090031623840332,1,0.0158441066741943,0.0158441066741943,4,0.0296900272369384,0.0634729862213134,0.0337829589843749,0.5322415250258246,2,2,1,-1
OPPO-FINDX5_1,0.0029249191284179,0.5454545454545454,1.5714156357260856,0.0055123567581177,0.0022569894790649,2.5844573974629976e-05,0.0083391666412353,0.0170155763626098,0.0002809166908263,0.0057932734489441,2.694818570749463,0.007721145966527,3.546710978246681,0.0049134969711303,0.0064598083496093,0.0256919860839844,0.0256919860839844,0.1,0.0256919860839844,2.169386091886928,0.006411075592041,0.1304788754263973,0.0491349697113037,0.0018141269683838,0.036921300227574,0.0026998519897461,0.0549476677325597,0.006411075592041,0.1304788754263973,1.9702889919281008,0.0010948181152343,0.0222818518392702,1,1,0,0,1,1,0.0,0.0,3,2.789497375488281e-05,0.0010948181152343,2,0.0029089450836181,0.0029249191284179,1,0.005624771118164,0.005624771118164,1,0.012035846710205,0.012035846710205,3,0.0179188251495361,0.0491349697113037,0.0312161445617675,0.6353142119590276,1,3,0,-1
OPPO-FINDX5_1,0.0015928745269774,0.8571428571428571,1.7774715834838746,0.0073127150535583,0.0043004751205444,2.9444694518998733e-05,0.030659556388855,0.0420213341712952,0.0004060268402099,0.0077187418937683,6.129341649341625,0.0207309332244834,0.9986199546013368,0.0116631587346394,0.00287659962972,0.0533831119537354,0.0533831119537354,0.1666666666666666,0.0533831119537354,1.6789930357279743,-0.0079660415649414,-0.1138348216262992,0.0699789524078369,-3.0040740966796875e-05,-0.0004292825190025,0.0079660415649414,0.1138348216262992,-0.0079948902130126,-0.1142470691247052,1.9942848682403564,3.0040740966796875e-05,0.0004292825190025,0,0,1,0,0,1,0.0,0.0,1,3.0040740966796875e-05,3.0040740966796875e-05,0,0.0,0.0,2,0.0079660415649414,0.0079948902130126,0,0.0,0.0,3,0.061378002166748,0.0699789524078369,0.0086009502410889,0.1229076735953779,0,3,0,-1
OPPO-FINDX5_2,0.0065238475799559,0.5,0.9481777553955804,0.006274938583374,0.0061430931091308,9.012222289999858e-06,0.0117000102996826,0.0158520221710205,0.0029129981994628,0.0091879367828369,0.9045796786462696,0.0061799146300155,0.5729841990545523,0.0065176751878526,0.0074107646942138,0.0200040340423584,0.0200040340423584,0.1111111111111111,0.0200040340423584,1.0552692625721167,0.0061430931091308,0.1047253631611898,0.0586590766906738,0.0029129981994628,0.0496598031166425,0.0035958290100096,0.0613004706666547,0.0061430931091308,0.1047253631611898,0.0,0.0071861743927001,0.1225074583187673,1,1,0,0,1,1,0.0,0.0,2,0.0071761608123779,0.0071861743927001,2,0.010099172592163,0.0101041793823242,1,0.0137000083923339,0.0137000083923339,1,0.0198431015014648,0.0198431015014648,3,0.0290310382843017,0.0586590766906738,0.0296280384063721,0.5050887275742385,0,0,0,-1
OPPO-FINDX5_2,0.0049099922180175,0.5,1.0945627650736776,0.0075869560241699,0.0035090446472168,5.960464477500031e-06,0.0159599781036377,0.018200397491455,0.0013160705566406,0.0089030265808105,3.548240250033965,0.0068234045774163,-0.2295105490830855,0.0062339089133522,0.0058636665344238,0.0204408168792724,0.0204408168792724,0.0909090909090909,0.0204408168792724,1.0075484364806817,0.0073180198669433,0.1067186804628399,0.068572998046875,0.0022678375244141,0.0330718736092573,0.0059471130371093,0.0867267467734761,0.0073180198669433,0.1067186804628399,0.0,0.0026381015777587,0.0384714341344001,1,1,0,0,1,1,0.0,0.0,3,0.0018980503082275,0.0026381015777587,2,0.0049059391021728,0.0049099922180175,1,0.0108571052551269,0.0108571052551269,1,0.0181751251220703,0.0181751251220703,4,0.034135103225708,0.068572998046875,0.034437894821167,0.5022078048509124,0,0,0,-1
VIVO-X70_PRO_1,0.0057969093322754,0.7272727272727273,1.119764483481304,0.0056225061416625,0.0042099952697754,2.9087066650399017e-05,0.0120640754699706,0.0144945859909057,0.0004052519798278,0.0060277581214904,1.8655793408086847,0.0055299648296924,0.2224926092200565,0.0049385070800781,0.0020020008087158,0.0169250965118408,0.0169250965118408,0.1,0.0169250965118408,1.1198448354496664,0.0066070556640625,0.0142372595741357,0.4640679359436035,0.011523962020874,0.024832489229065,0.0042898654937744,0.0092440463163042,0.0066070556640625,0.0142372595741357,0.0,0.0015890598297119,0.0034241965596714,1,1,0,0,1,1,0.0,0.0,3,2.9087066650390625e-05,0.0015890598297119,2,0.0131130218505859,0.0131430625915527,1,0.0174329280853271,0.0174329280853271,1,0.0240399837493896,0.0240399837493896,3,0.0409650802612304,0.0493850708007812,0.0084199905395508,0.0181438748239095,0,0,0,-1
