Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Last_Time,Gap_23_Time,Type_5_Last_Time,Type_3_Last_Time,Type_4_Last_Time,Type_3_First_Occurrence_Time,A_IAT_P10,Type_6_Time_Ratio,Gap_34_Time_Ratio,Gap_23_Time_Ratio,Type_6_Time,A_IAT_P95,A_IAT_StdDev,DBSCAN_Cluster
VIVO-X60_1,9.283082962036133,0.1132700443267822,0.1132700443267822,0.0812540054321289,0.0917999744415283,0.0823559761047363,0.0852348804473877,0.0823559761047363,0.0007693767547607,0.0528743035515455,0.0254162904213739,0.7173476969578333,0.0059890747070313,0.0582334518432616,0.0275421855460775,0
IQOO-Z9X,0.0,0.0365898609161376,0.0365898609161376,8.82148742679988e-06,0.0135638713836669,0.0025157928466796,0.0067298412322998,0.0025107860565185,7.581710815379944e-06,0.2391101786028444,0.1151698388599677,0.0002410910346726,0.0087490081787109,0.0111819267272948,0.0046512870069478,0
VIVO-X60_1,9.472368955612184,0.1042878627777099,0.1042878627777099,0.0736081600189209,0.0860979557037353,0.07470703125,0.0784940719604492,0.07470703125,3.1781196594325515e-05,0.1292182481167769,0.0361213035675494,0.7058171301852936,0.0134758949279785,0.0373058080673217,0.0206399383828926,0
VIVO-X60_1,9.366567850112917,0.0938730239868164,0.0938730239868164,0.0712800025939941,0.0812408924102783,0.0712800025939941,0.0,0.0712800025939941,4.346370697021623e-05,0.1059730984527548,-0.7593236008249261,0.7593236008249261,0.0099480152130127,0.0436864018440245,0.0219513703928641,0
IQOO-Z9X,10.729662895202637,0.0356049537658691,0.0356049537658691,9.059906005899924e-06,0.0097520351409912,0.001612901687622,0.0,0.0016109943389892,6.91413879396999e-06,0.2461195409072032,-0.0452999236630978,0.0002544563339549,0.0087630748748778,0.0139570951461792,0.005755011642645,0
IQOO-Z9X,0.0,0.0353178977966308,0.0353178977966308,5.00679016110007e-06,0.0145459175109863,0.0059258937835693,0.0066909790039062,0.0017240047454833,4.696846008271313e-06,0.3512630456208572,0.0216628187991949,0.0001417635384169,0.0124058723449706,0.0081360816955566,0.0031606178296778,0
IQOO-Z9X,10.586699962615969,0.0290579795837402,0.0290579795837402,-1.907348632799924e-06,0.0104758739471435,0.002626895904541,0.0039868354797363,0.0014989376068115,1.907348632799924e-06,0.2021529726447762,0.0468008992599152,-6.563940990127225e-05,0.0058741569519043,0.0095984935760498,0.0037954448156035,0
OPPO-FINDX5_1,1.960982084274292,0.0519001483917236,0.0519001483917236,0.0011820793151854,0.0140180587768554,0.0037040710449218,0.0081381797790527,0.0024981498718261,3.9196014404317e-05,0.4478811126168561,0.085435376805936,0.022776029584031,0.023245096206665,0.0198018550872802,0.0080150267007927,0
OPPO-FINDX5_1,1.9616320133209229,0.0633840560913086,0.0633840560913086,0.0037040710449218,0.0140430927276611,0.0046160221099853,0.0061359405517578,0.0037341117858886,0.0006263494491577,0.6225719573296433,0.0239795073950926,0.0584385297082575,0.0394611358642578,0.0234741330146789,0.0099867535632502,0
OPPO-FINDX5_1,1.9711859226226809,0.0637068748474121,0.0637068748474121,0.0011360645294189,0.0,0.0026688575744628,0.0058248043060302,0.0026688575744628,0.0013344287872314,0.7148043082864916,0.0495385582659074,0.0178326833978271,0.0455379486083984,0.0313234329223633,0.0139232487807221,0
OPPO-FINDX5_1,1.915535926818848,0.0674719810485839,0.0674719810485839,0.0041921138763427,0.0,0.0055818557739257,0.009139060974121,0.0055630207061767,2.9325485229480044e-05,0.5821525240461068,0.0527212206446687,0.0621311811390897,0.0392789840698242,0.0270339012145996,0.0109836913280015,0
OPPO-FINDX5_1,1.9291460514068604,0.0442240238189697,0.0442240238189697,0.0020880699157715,0.0,0.0035638809204101,0.0070240497589111,0.0035600662231445,3.933906555149977e-06,0.0,0.0782418364431319,0.0472157378604665,0.0,0.0287650227546692,0.0146721849009355,0
OPPO-FINDX5_1,1.9053559303283687,0.0647029876708984,0.0647029876708984,0.0026891231536865,0.0191321372985839,0.0076611042022705,0.0,0.0066981315612792,0.0007743835449219,0.6058279043716657,-0.11840418005483,0.0415610352857939,0.039198875427246,0.0231475830078124,0.0096732992397776,0
OPPO-FINDX5_1,1.9330191612243648,0.0684912204742431,0.0684912204742431,0.0011670589447022,0.0211701393127441,0.0034351348876953,0.0,0.0034351348876953,0.0011298656463623,0.6324785134697664,-0.0501543827648263,0.0170395407852468,0.0433192253112793,0.0316749095916748,0.013625622128008,0
OPPO-FINDX5_1,1.9283130168914795,0.0680429935455322,0.0680429935455322,0.004194974899292,0.0190520286560058,0.0064818859100341,0.0101418495178222,0.0064818859100341,0.0012956619262694,0.5593970419737003,0.0537889857144361,0.0616518274800014,0.0380630493164063,0.0232960820198058,0.0093888799219614,0
OPPO-FINDX5_1,1.9942848682403564,0.0699789524078369,0.0699789524078369,-3.0040740966796875e-05,0.0,0.0,0.0079948902130126,0.0,2.9444694518998733e-05,0.1229076735953779,0.1138348216262992,-0.0004292825190025,0.0086009502410889,0.0420213341712952,0.0207309332244834,0
OPPO-FINDX5_1,1.9702889919281008,0.0491349697113037,0.0491349697113037,0.0018141269683838,0.012035846710205,0.0029249191284179,0.005624771118164,0.0029089450836181,2.5844573974629976e-05,0.6353142119590276,0.0549476677325597,0.036921300227574,0.0312161445617675,0.0170155763626098,0.007721145966527,0
