Label,Next_Packet_After_First_Stage,Type_6_Last_Time,First_Stage_Time_Diff,Gap_23_Time,A_IAT_P95,A_IAT_StdDev,Type_5_First_Occurrence_Time,Type_3_Last_Time,A_Mean_IAT,A_IAT_IQR,Type_4_First_Occurrence_Time,Gap_23_Time_Ratio,Range_2,Type_6_Time,Type_4_Last_Time,Type_3_First_Occurrence_Time,Gap_34_Time,Gap_45_Time_Ratio,A_IAT_P90,Type_5_Last_Time
HONOR-70_2,5.717315912246704,0.0357179641723632,0.0357179641723632,0.0022439956665038,0.0125636100769043,0.0051465097397157,0.0,0.0031149387359619,0.0039686626858181,0.0027790069580078,0.0054280757904052,0.0628254078444984,6,0.0137598514556883,0.0054280757904052,0.0031080245971679,0.0023131370544432,-0.1519704696552996,0.008597183227539,0.0
HONOR-70_2,4.539139032363892,0.0317010879516601,0.0317010879516601,0.0024979114532471,0.0077653884887695,0.0025692985111026,0.0135478973388671,0.0042910575866699,0.00352234310574,0.0010991096496582,0.0068860054016113,0.0787957642670207,3,0.014674186706543,0.0068860054016113,0.0042788982391357,0.0025949478149414,0.2101471074877395,0.0070297241210937,0.0135478973388671
HONOR-70_2,5.72167181968689,0.0397930145263671,0.0397930145263671,-7.1525573730000375e-06,0.0112069845199585,0.0045967531640651,0.0108230113983154,0.0013139247894287,0.0036175467751242,0.005709171295166,0.0046219825744628,-0.0001797440444794,3,0.0143229961395262,0.0046219825744628,0.0013008117675781,0.0033080577850341,0.1558320950965843,0.0077669620513916,0.0108230113983154
HONOR-70_2,5.726178169250488,0.0578870773315429,0.0578870773315429,0.0034761428833006,0.0147695541381835,0.0061218430155798,0.0176711082458496,0.0057029724121093,0.0052624615755948,0.0059033632278443,0.0099270343780517,0.0600504126921352,6,0.0173659324645996,0.0099270343780517,0.0047121047973632,0.0042240619659424,0.1337789749419275,0.0077440738677978,0.018726110458374
HONOR-70_2,5.756701946258545,0.0412268638610839,0.0412268638610839,0.0020020008087158,0.0148921012878417,0.0058026279786772,0.0116569995880126,0.0020020008087158,0.0058895519801548,0.0029029846191405,0.0053749084472656,0.0485605894123222,6,0.025501012802124,0.0053749084472656,0.0020020008087158,0.0033729076385498,0.1523785840687479,0.0112020969390868,0.0116569995880126
HONOR-70_2,5.746462106704712,0.0408360958099365,0.0408360958099365,0.0012781620025635,0.0123721837997436,0.0051430952416215,0.0136110782623291,0.0038080215454101,0.0034030079841613,0.002339243888855,0.0061061382293701,0.0312998090834258,5,0.008903980255127,0.0061061382293701,0.0037801265716552,0.00229811668396,0.1837820164760424,0.0071326494216919,0.0136110782623291
HONOR-70_2,0.0,0.0347719192504882,0.0347719192504882,0.0010039806365966,0.0093268752098083,0.0035001776194994,0.0126631259918212,0.0023829936981201,0.0028976599375406,0.0025182962417602,0.0055480003356933,0.0288733166945481,0,0.0204639434814453,0.0055480003356933,0.0023629665374755,0.0031650066375732,0.2046227475933185,0.0067654132843017,0.0126631259918212
HUAWEI-mate30_1,1.080408811569214,0.0351698398590087,0.0351698398590087,-0.0010080337524413,0.0090974450111389,0.0033940663665705,0.014028787612915,0.0010328292846679,0.0025121314185006,0.0025139451026915,0.0037047863006591,-0.0286618806478069,3,0.014611005783081,0.0037307739257812,1.6927719116210938e-05,0.0026719570159911,0.2928080914902425,0.0078747034072876,0.014028787612915
HUAWEI-mate30_1,1.1716959476470947,0.0370750427246093,0.3406300544738769,-7.1525573730000375e-06,0.012960660457611,0.005708728422619,0.0098359584808349,0.002126932144165,0.0037075042724609,0.0042293071746825,0.0040991306304931,-2.099802198619139e-05,1,0.0083680152893065,0.0040991306304931,0.0012409687042236,0.0019721984863281,0.0168418135011682,0.0070502519607543,0.0098359584808349
HUAWEI-mate30_1,1.2713119983673096,0.0356299877166748,0.3610191345214844,-3.314018249520002e-05,0.0094155073165893,0.0036866987876333,0.0112161636352539,0.0022120475769042,0.0032390897924249,0.0049124956130982,0.0040950775146484,-9.179619395832285e-05,3,0.0152637958526611,0.0040950775146484,0.0012030601501464,0.0018830299377442,0.0197249548283478,0.0091500282287597,0.0112161636352539
HUAWEI-mate30_1,1.3052141666412354,0.0378651618957519,0.3673310279846191,-8.106231689399999e-06,0.0152377009391784,0.0073593263391445,0.0,0.0016050338745117,0.0037865161895751,0.0035812258720397,0.004134178161621,-2.2067919864747785e-05,3,0.0095131397247313,0.004134178161621,0.0015900135040283,0.0025291442871093,-0.0112546391310948,0.0062575578689574,0.0
HUAWEI-mate30_1,1.309028148651123,0.039255142211914,0.3624100685119629,-0.0012099742889405,0.0144206881523132,0.0059147734843284,0.0114121437072753,0.0023841857910156,0.0039255142211913,0.0036051273345946,0.0,-0.0033386883921536,3,0.0090100765228271,0.0,0.0011711120605468,-0.0023841857910156,0.0314895878973036,0.0100084543228148,0.0114121437072753
